"filename", "language", "JavaScript", "Vue", "SCSS", "CSS", "comment", "blank", "total"
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/dockermagr/cloudList.vue", "Vue", 0, 100, 0, 0, 0, 5, 105
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/dockermagr/cloudTab/history.vue", "Vue", 0, 319, 0, 0, 3, 40, 362
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/dockermagr/cloudTab/list.vue", "Vue", 0, 271, 0, 0, 6, 32, 309
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/dockermagr/list.vue", "Vue", 0, 427, 0, 0, 3, 29, 459
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/filemagr/add.vue", "Vue", 0, 484, 0, 0, 0, 14, 498
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/filemagr/addDialog.vue", "Vue", 0, 248, 0, 0, 3, 12, 263
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/filemagr/cloudList.vue", "Vue", 0, 109, 0, 0, 0, 9, 118
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/filemagr/cloudTab/history.vue", "Vue", 0, 313, 0, 0, 3, 45, 361
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/filemagr/cloudTab/list.vue", "Vue", 0, 219, 0, 0, 5, 24, 248
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/filemagr/list.vue", "Vue", 0, 323, 0, 0, 2, 21, 346
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/home.vue", "Vue", 0, 312, 0, 0, 19, 17, 348
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/linuxPkgMagr/cloudList.vue", "Vue", 0, 118, 0, 0, 0, 8, 126
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/linuxPkgMagr/cloudTab/history.vue", "Vue", 0, 325, 0, 0, 3, 45, 373
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/linuxPkgMagr/cloudTab/list.vue", "Vue", 0, 249, 0, 0, 5, 29, 283
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/linuxPkgMagr/compress.vue", "Vue", 0, 332, 0, 0, 2, 25, 359
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/linuxPkgMagr/compressAdd.vue", "Vue", 0, 54, 0, 0, 0, 6, 60
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/linuxPkgMagr/compress_add.vue", "Vue", 0, 484, 0, 0, 1, 12, 497
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/linuxPkgMagr/deb.vue", "Vue", 0, 332, 0, 0, 2, 26, 360
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/linuxPkgMagr/debAdd.vue", "Vue", 0, 54, 0, 0, 0, 6, 60
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/linuxPkgMagr/deb_add.vue", "Vue", 0, 452, 0, 0, 1, 8, 461
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/linuxPkgMagr/os.vue", "Vue", 0, 341, 0, 0, 2, 18, 361
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/linuxPkgMagr/osAdd.vue", "Vue", 0, 471, 0, 0, 1, 21, 493
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/main/footer.vue", "Vue", 0, 28, 0, 0, 0, 5, 33
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/main/header.vue", "Vue", 0, 423, 0, 0, 5, 30, 458
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/osCloud/cloudList.vue", "Vue", 0, 120, 0, 0, 0, 8, 128
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/osCloud/cloudTab/history.vue", "Vue", 0, 320, 0, 0, 3, 43, 366
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/osCloud/cloudTab/list.vue", "Vue", 0, 244, 0, 0, 5, 26, 275
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/refresh.vue", "Vue", 0, 15, 0, 0, 0, 1, 16
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/repo/addDialog.vue", "Vue", 0, 146, 0, 0, 0, 5, 151
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/repo/list.vue", "Vue", 0, 194, 0, 0, 14, 4, 212
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/appmagrApi.js", "JavaScript", 91, 0, 0, 0, 0, 12, 103
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/authApi.js", "JavaScript", 17, 0, 0, 0, 0, 3, 20
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/bspmagrApi.js", "JavaScript", 171, 0, 0, 0, 0, 16, 187
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/cloudStatusApi.js", "JavaScript", 56, 0, 0, 0, 0, 7, 63
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/configApi.js", "JavaScript", 26, 0, 0, 0, 0, 4, 30
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/dockercomposeApi.js", "JavaScript", 132, 0, 0, 0, 0, 14, 146
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/exemagrApi.js", "JavaScript", 87, 0, 0, 0, 0, 10, 97
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/filemagrApi.js", "JavaScript", 96, 0, 0, 0, 0, 10, 106
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/handleResponse.js", "JavaScript", 30, 0, 0, 0, 0, 2, 32
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/linuxPkgApi.js", "JavaScript", 88, 0, 0, 0, 0, 9, 97
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/repoApi.js", "JavaScript", 53, 0, 0, 0, 0, 7, 60
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/repoTypeApi.js", "JavaScript", 50, 0, 0, 0, 0, 7, 57
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/storageApi.js", "JavaScript", 44, 0, 0, 0, 0, 6, 50
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/restfulapi/userApi.js", "JavaScript", 120, 0, 0, 0, 0, 15, 135
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/user/list.vue", "Vue", 0, 328, 0, 0, 2, 20, 350
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/windowsPkgMagr/cloudList.vue", "Vue", 0, 118, 0, 0, 0, 7, 125
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/windowsPkgMagr/cloudTab/history.vue", "Vue", 0, 325, 0, 0, 3, 43, 371
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/windowsPkgMagr/cloudTab/list.vue", "Vue", 0, 266, 0, 0, 5, 29, 300
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/windowsPkgMagr/exe.vue", "Vue", 0, 345, 0, 0, 2, 25, 372
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/windowsPkgMagr/exeAdd.vue", "Vue", 0, 52, 0, 0, 0, 7, 59
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/windowsPkgMagr/exe_add.vue", "Vue", 0, 461, 0, 0, 1, 8, 470
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/windowsPkgMagr/os.vue", "Vue", 0, 338, 0, 0, 2, 18, 358
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/windowsPkgMagr/osAdd.vue", "Vue", 0, 472, 0, 0, 1, 20, 493
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/windowsPkgMagr/zip.vue", "Vue", 0, 333, 0, 0, 2, 27, 362
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/windowsPkgMagr/zipAdd.vue", "Vue", 0, 52, 0, 0, 0, 8, 60
"/home/gangqiangsun/MYPROJECT/FRONTEND/aStore-edge/src/components/windowsPkgMagr/zip_add.vue", "Vue", 0, 471, 0, 0, 1, 13, 485
